 # ID, name,  angle[rad],  betax[m],  betay[m], halfgap[m],  Material,  Length[m],  sigx[m],  sigy[m], tilt1[rad], tilt2[rad], nsig
        33, TCDQA.A4RD.B,    0.0000000000E+00,    0.2713234157E+04,    0.2716792418E+04,    0.3815407811E-02, C,      0.90000E+01,   0.33468E-03,   0.33490E-03,   0.00000E+00,   0.00000E+00,   0.11400E+02
         1, TCP.D6L2.B1 ,    0.1571000000E+01,    0.7956077899E+03,    0.3908146286E+03,    0.9145561758E-03, C,      0.60000E+00,   0.18123E-03,   0.12702E-03,   0.00000E+00,   0.00000E+00,   0.72000E+01
         2, TCP.C6L2.B1 ,    0.0000000000E+00,    0.7538657858E+03,    0.4132858932E+03,    0.1270199649E-02, C,      0.60000E+00,   0.17642E-03,   0.13062E-03,   0.00000E+00,   0.00000E+00,   0.72000E+01
         3, TCP.B6L2.B1 ,    0.2215000000E+01,    0.7135067502E+03,    0.4368829804E+03,    0.1071697498E-02, C,      0.60000E+00,   0.17163E-03,   0.13430E-03,   0.00000E+00,   0.00000E+00,   0.72000E+01
         4, TCSG.A6L2.B1,    0.2462660000E+01,    0.1970228424E+03,    0.1144185889E+04,    0.1488679956E-02, C,      0.10000E+01,   0.90188E-04,   0.21734E-03,   0.00000E+00,   0.00000E+00,   0.97000E+01
         5, TCSG.B5L2.B1,    0.2504550000E+01,    0.8121709060E+03,    0.8219532848E+03,    0.1779964516E-02, C,      0.10000E+01,   0.18311E-03,   0.18421E-03,   0.00000E+00,   0.00000E+00,   0.97000E+01
         6, TCSG.A5L2.B1,    0.7103500000E+00,    0.9430567796E+03,    0.7197950349E+03,    0.1815066180E-02, C,      0.10000E+01,   0.19732E-03,   0.17238E-03,   0.00000E+00,   0.00000E+00,   0.97000E+01
         7, TCSG.D4L2.B1,    0.1570800000E+01,    0.1671986291E+04,    0.3406754535E+03,    0.1150362275E-02, C,      0.10000E+01,   0.26273E-03,   0.11859E-03,   0.00000E+00,   0.00000E+00,   0.97000E+01
         8, TCSG.B4L2.B1,    0.0000000000E+00,    0.6926785910E+03,    0.6597337932E+03,    0.1640325710E-02, C,      0.10000E+01,   0.16911E-03,   0.16504E-03,   0.00000E+00,   0.00000E+00,   0.97000E+01
         9, TCSG.A4L2.B1,    0.2349210000E+01,    0.6376285511E+03,    0.7115364333E+03,    0.1619376529E-02, C,      0.10000E+01,   0.16225E-03,   0.17139E-03,   0.00000E+00,   0.00000E+00,   0.97000E+01
        10, TCSG.A4R2.B1,    0.8080900000E+00,    0.5860615714E+03,    0.7664646104E+03,    0.1625668967E-02, C,      0.10000E+01,   0.15555E-03,   0.17788E-03,   0.00000E+00,   0.00000E+00,   0.97000E+01
        11, TCSG.B5R2.B1,    0.2469640000E+01,    0.6193048088E+03,    0.1322221573E+04,    0.1861119636E-02, C,      0.10000E+01,   0.15990E-03,   0.23364E-03,   0.00000E+00,   0.00000E+00,   0.97000E+01
        12, TCSG.D5R2.B1,    0.8971000000E+00,    0.1083306479E+04,    0.7810607229E+03,    0.1868409828E-02, C,      0.10000E+01,   0.21148E-03,   0.17957E-03,   0.00000E+00,   0.00000E+00,   0.97000E+01
        13, TCSG.E5R2.B1,    0.2277650000E+01,    0.1221893674E+04,    0.6698699164E+03,    0.1872562345E-02, C,      0.10000E+01,   0.22460E-03,   0.16630E-03,   0.00000E+00,   0.00000E+00,   0.97000E+01
        14, TCSG.6R2.B1 ,    0.8730000000E-02,    0.1668331034E+04,    0.2368329792E+03,    0.2545605634E-02, C,      0.10000E+01,   0.26244E-03,   0.98881E-04,   0.00000E+00,   0.00000E+00,   0.97000E+01
