 # ID, name,  angle[rad],  betax[m],  betay[m], halfgap[m],  Material,  Length[m],  sigx[m],  sigy[m], tilt1[rad], tilt2[rad], nsig
        33, TCDQA.A4RD.B,    0.0000000000E+00,    0.2713544962E+04,    0.2716876892E+04,    0.1485230537E-01, C,      0.90000E+01,   0.13028E-02,   0.13036E-02,   0.00000E+00,   0.00000E+00,   0.11400E+02
         1, TCP.D6L2.B1 ,    0.1571000000E+01,    0.7956838122E+03,    0.3908078214E+03,    0.3559874083E-02, C,      0.60000E+00,   0.70549E-03,   0.49443E-03,   0.00000E+00,   0.00000E+00,   0.72000E+01
         2, TCP.C6L2.B1 ,    0.0000000000E+00,    0.7539365515E+03,    0.4132781701E+03,    0.4944477481E-02, C,      0.60000E+00,   0.68673E-03,   0.50844E-03,   0.00000E+00,   0.00000E+00,   0.72000E+01
         3, TCP.B6L2.B1 ,    0.2215000000E+01,    0.7135724115E+03,    0.4368743107E+03,    0.4171647356E-02, C,      0.60000E+00,   0.66810E-03,   0.52276E-03,   0.00000E+00,   0.00000E+00,   0.72000E+01
         4, TCSG.A6L2.B1,    0.2462660000E+01,    0.1970184399E+03,    0.1144151839E+04,    0.5794597141E-02, C,      0.10000E+01,   0.35105E-03,   0.84598E-03,   0.00000E+00,   0.00000E+00,   0.97000E+01
         5, TCSG.B5L2.B1,    0.2504550000E+01,    0.8121416035E+03,    0.8219278441E+03,    0.6928383828E-02, C,      0.10000E+01,   0.71275E-03,   0.71703E-03,   0.00000E+00,   0.00000E+00,   0.97000E+01
         6, TCSG.A5L2.B1,    0.7103500000E+00,    0.9430274933E+03,    0.7197729462E+03,    0.7065026288E-02, C,      0.10000E+01,   0.76804E-03,   0.67099E-03,   0.00000E+00,   0.00000E+00,   0.97000E+01
         7, TCSG.D4L2.B1,    0.1570800000E+01,    0.1671965396E+04,    0.3406669008E+03,    0.4477722874E-02, C,      0.10000E+01,   0.10227E-02,   0.46162E-03,   0.00000E+00,   0.00000E+00,   0.97000E+01
         8, TCSG.B4L2.B1,    0.0000000000E+00,    0.6927148496E+03,    0.6597513184E+03,    0.6385126277E-02, C,      0.10000E+01,   0.65826E-03,   0.64241E-03,   0.00000E+00,   0.00000E+00,   0.97000E+01
         9, TCSG.A4L2.B1,    0.2349210000E+01,    0.6376657936E+03,    0.7115559855E+03,    0.6303546584E-02, C,      0.10000E+01,   0.63156E-03,   0.66715E-03,   0.00000E+00,   0.00000E+00,   0.97000E+01
